Ins+3rd+Pl+Fut+Imp	InsImlwAt
Hei+1st+Du+Exc+Fut+Perf	HeiIlt
Hei+1st+Du+Exc+Fut+Imp	HeiIlnwAt
Hei+1st+Du+Exc+Prs+Imp	HeiEmsawAt
Hei+1st+Du+Exc+Prs+Perf	HeiEmsa
Hei+1st+Du+Exc+Pst+Perf	HeiEmsAlt
Hei+1st+Du+Exc+Pst+Imp	HeiEmsAlnwAt
Hei+1st+Du+Inc+Fut+Imp	HeiIlawAt
Hei+1st+Du+Inc+Fut+Perf	HeiIla
Hei+1st+Du+Inc+Prs+Imp	HeiEmswAt
Hei+1st+Du+Inc+Prs+Perf	HeiEms
Hei+1st+Du+Inc+Pst+Imp	HeiEmsalawAt
Hei+1st+Du+Inc+Pst+Perf	HeiEmsala
Hei+1st+Sg+Fut+Imp	HeiiwiwAt
Hei+1st+Sg+Fut+Perf	Heiiwi
Hei+1st+Sg+Prs+Perf	HeiEt
Hei+1st+Sg+Prs+Imp	HeiEnwAt
Hei+1st+Sg+Pst+Imp	HeiEmwAt
Hei+1st+Sg+Pst+Perf	HeiEm
2Ord+simU+Pl+Poss	aNsimUsfE
2Ord+simU+Pl+Adp	aNsimU@
2Ord+simU+Pl+Acc	aNsimUr
2Ord+simU+Pl+Nom	aNsimUHe
2Ord+simU+Du+Poss	aNsimUwE
2Ord+simU+Du+Adp	aNsimUi
2Ord+simU+Du+Acc	aNsimUir
2Ord+simU+Du+Nom	aNsimUm
2Ord+simU+Sg+Poss	aNsimUIt
2Ord+simU+Sg+Adp	aNsimUA
2Ord+simU+Sg+Acc	aNsimUAr
2Ord+simU+Sg+Nom	aNsimU
2Ord+saIp+Sg+Nom	aNsaIp
2Ord+saIp+Pl+Poss	aNsaImsfE
2Ord+saIp+Pl+Adp	aNsaIm@
2Ord+saIp+Pl+Acc	aNsaImr
2Ord+saIp+Pl+Nom	aNsaImHe
2Ord+saIp+Du+Poss	aNsaImwE
2Ord+saIp+Du+Adp	aNsaImi
2Ord+saIp+Du+Acc	aNsaImir
2Ord+saIp+Du+Nom	aNsaImm
2Ord+saIp+Sg+Poss	aNsaImIt
2Ord+saIp+Sg+Adp	aNsaImA
2Ord+saIp+Sg+Acc	aNsaImAr
2Ord+saZIm+Pl+Poss	aNsaZImsfE
2Ord+saZIm+Pl+Adp	aNsaZIm@
2Ord+saZIm+Pl+Acc	aNsaZImr
2Ord+saZIm+Pl+Nom	aNsaZImHe
2Ord+saZIm+Du+Poss	aNsaZImwE
2Ord+saZIm+Du+Adp	aNsaZImi
2Ord+saZIm+Du+Acc	aNsaZImir
2Ord+saZIm+Du+Nom	aNsaZImm
2Ord+saZIm+Sg+Poss	aNsaZImIt
2Ord+saZIm+Sg+Adp	aNsaZImA
2Ord+saZIm+Sg+Acc	aNsaZImAr
2Ord+saZIm+Sg+Nom	aNsaZIm
2Ord+eNek+Sg+Nom	aNeNek
2Ord+eNek+Pl+Poss	aNeNeNsfE
2Ord+eNek+Pl+Adp	aNeNeN@
2Ord+eNek+Pl+Acc	aNeNeNr
2Ord+eNek+Pl+Nom	aNeNeNHe
2Ord+eNek+Du+Poss	aNeNeNwE
2Ord+eNek+Du+Adp	aNeNeNi
2Ord+eNek+Du+Acc	aNeNeNir
2Ord+eNek+Du+Nom	aNeNeNm
2Ord+eNek+Sg+Poss	aNeNeNIt
2Ord+eNek+Sg+Adp	aNeNeNA
2Ord+eNek+Sg+Acc	aNeNeNAr
2Ord+anInEm+Pl+Poss	aNanInEmsfE
2Ord+anInEm+Pl+Adp	aNanInEm@
2Ord+anInEm+Pl+Acc	aNanInEmr
2Ord+anInEm+Pl+Nom	aNanInEmHe
2Ord+anInEm+Du+Poss	aNanInEmwE
2Ord+anInEm+Du+Adp	aNanInEmi
2Ord+anInEm+Du+Acc	aNanInEmir
2Ord+anInEm+Du+Nom	aNanInEmm
2Ord+anInEm+Sg+Poss	aNanInEmIt
2Ord+anInEm+Sg+Adp	aNanInEmA
2Ord+anInEm+Sg+Acc	aNanInEmAr
2Ord+anInEm+Sg+Nom	aNanInEm
2Ord+SSeSS+Pl+Poss	aNSSeSSsfE
2Ord+SSeSS+Pl+Adp	aNSSeSS@
2Ord+SSeSS+Pl+Acc	aNSSeSSr
2Ord+SSeSS+Pl+Nom	aNSSeSSHe
2Ord+SSeSS+Du+Poss	aNSSeSSwE
2Ord+SSeSS+Du+Adp	aNSSeSSi
2Ord+SSeSS+Du+Acc	aNSSeSSir
2Ord+SSeSS+Du+Nom	aNSSeSSm
2Ord+SSeSS+Sg+Poss	aNSSeSSIt
2Ord+SSeSS+Sg+Adp	aNSSeSSA
2Ord+SSeSS+Sg+Acc	aNSSeSSAr
2Ord+SSeSS+Sg+Nom	aNSSeSS
2Ord+xEt+Sg+Nom	aNxEt
2Ord+xEt+Pl+Poss	aNxEnsfE
2Ord+xEt+Pl+Adp	aNxEn@
2Ord+xEt+Pl+Acc	aNxEnr
2Ord+xEt+Pl+Nom	aNxEnHe
2Ord+xEt+Du+Poss	aNxEnwE
2Ord+xEt+Du+Adp	aNxEni
2Ord+xEt+Du+Acc	aNxEnir
2Ord+xEt+Du+Nom	aNxEnm
2Ord+xEt+Sg+Poss	aNxEnIt
2Ord+xEt+Sg+Adp	aNxEnA
2Ord+xEt+Sg+Acc	aNxEnAr
